discharge_disposition_id,description,short_name
1,Discharged to home,Home
2,Discharged/transferred to another short term hospital,Another short-term hospital
3,Discharged/transferred to SNF,Skilled nursing facility
4,Discharged/transferred to ICF,Intermediate care facility
5,Discharged/transferred to another type of inpatient care institution,Other inpatient institution
6,Discharged/transferred to home with home health service,Home with home health
7,Left AMA,Left against medical advice
8,Discharged/transferred to home under care of Home IV provider,Discharged/transferred to home under care of Home IV provider
9,Admitted as an inpatient to this hospital,Admitted as an inpatient to this hospital
10,Neonate discharged to another hospital for neonatal aftercare,Neonate discharged to another hospital for neonatal aftercare
11,Expired,Expired
12,Still patient or expected to return for outpatient services,Still patient or expected to return for outpatient services
13,Hospice / home,Hospice / home
14,Hospice / medical facility,Hospice / medical facility
15,Discharged/transferred within this institution to Medicare approved swing bed,Discharged/transferred within this institution to Medicare approved swing bed
16,Discharged/transferred/referred another institution for outpatient services,Discharged/transferred/referred another institution for outpatient services
17,Discharged/transferred/referred to this institution for outpatient services,Discharged/transferred/referred to this institution for outpatient services
18,Not recorded,Not recorded
19,"Expired at home. Medicaid only, hospice.","Expired at home. Medicaid only, hospice."
20,"Expired in a medical facility. Medicaid only, hospice.","Expired in a medical facility. Medicaid only, hospice."
21,"Expired, place unknown. Medicaid only, hospice.","Expired, place unknown. Medicaid only, hospice."
22,Discharged/transferred to another rehab fac including rehab units of a hospital .,Rehab facility
23,Discharged/transferred to a long term care hospital.,Long-term care hospital
24,Discharged/transferred to a nursing facility certified under Medicaid but not certified under Medicare.,Discharged/transferred to a nursing facility certified under Medicaid but not certified under Medicare.
25,Not Mapped,Not Mapped
26,Unknown/Invalid,Unknown/Invalid
30,Discharged/transferred to another Type of Health Care Institution not Defined Elsewhere,Discharged/transferred to another Type of Health Care Institution not Defined Elsewhere
27,Discharged/transferred to a federal health care facility.,Discharged/transferred to a federal health care facility.
28,Discharged/transferred/referred to a psychiatric hospital of psychiatric distinct part unit of a hospital,Discharged/transferred/referred to a psychiatric hospital of psychiatric distinct part unit of a hospital
29,Discharged/transferred to a Critical Access Hospital (CAH).,Discharged/transferred to a Critical Access Hospital (CAH).
